id;name;anons;text;parent
2;Постельное белье;;;
3;Одеяла;;;
12;Полуторное;;;62
13;Двуспальное;;;62
21;Семейное;;;62
22;Евро;;;62
39;Постельное белье из бязи;;;2
40;Постельное белье из перкаля;;;2
41;Постельное белье из поплина;;;2
42;Постельное белье из сатина;;;2
43;Постельное белье из страйп-сатина;;;2
44;Постельное белье с простыней на резинке;;;2
45;Постельное белье из трикотажа;;;2
46;Двуспальное с европростыней;;;62
47;Евро 2;;;62
53;Ясельное;;;62
54;Детское постельное белье;;;2
55;Полутороспальное постельное белье из бязи;;;39
56;Двуспальное постельное белье из бязи;;;39
57;Двуспальное постельное белье из бязи с европростыней;;;39
58;Постельное белье из бязи ЕВРО-размера с пододеяльником 200*220 см;;;39
59;Постельное белье из бязи ЕВРО-МАКСИ с пододеяльником 220*240 см;;;39
60;Семейное постельное белье из бязи;;;39
61;Постельное белье Зима-лето из бязи;;;2
62;Постельнео белье всех размеров;;;2
63;"1,5-спальное постельное белье Зима-Лето из бязи со стеганым пододеяльником";;;61
64;2-спальное постельное белье Зима-Лето из бязи со стеганым пододеяльником;;;61
65;2-спальное постельное белье Зима-Лето из бязи с Европростыней и стеганым пододеяльником;;;61
66;Постельное белье Зима-Лето из бязи ЕВРО со стеганым пододеяльником 200*220 см;;;61
67;Постельное белье Зима-Лето из бязи семейного размера с двумя стегаными пододеяльниками;;;61
68;"1,5-спальное постельное белье из перкаля";;;40
69;2-спальное постельное белье из перкаля;;;40
70;2-спальное постельное белье из перкаля с европростыней;;;40
71;Постельное белье из перкаля ЕВРО размера с пододеяльником 200*220 см;;;40
72;Постельное белье из перкаля ЕВРО-МАКСИ с пододеяльником 220*240 см;;;40
73;Семейное постельное белье из перкаля;;;40
74;Постельное белье Зима-Лето из перкаля с утепленным пододеяльником;;;2
75;"1,5-спальное постельное белье Зима-Лето из перкаля с утепленным пододеяльником";;;74
76;2-спальное постельное белье Зима-Лето из перкаля с утепленным пододеяльником;;;74
77;2-спальное постельное белье Зима-Лето из перкаля с Евро простыней и утепленным пододеяльником;;;74
78;Постельное белье Зима-Лето ЕВРО размера из перкаля с утепленным пододеяльником;;;74
79;Семейное постельное белье Зима-Лето с двумя утепленными пододеяльниками;;;74
80;1.5-спальное постельное белье из Сатина;;;42
81;2-спальное постельное белье из Сатина;;;42
82;2-спальное постельное белье из Сатина с европростыней;;;42
83;Постельное белье из Сатина ЕВРО с пододеяльником 200*220 см;;;42
84;Постельное белье из Сатина ЕВРО-МАКСИ с пододеяльником 220*240 см;;;42
85;Семейное постельное белье из Сатина;;;42
86;"1,5-спальное постельное белье из трикотажа";;;45
87;Двуспальное постельное белье из трикотажа;;;45
88;Постельное белье из трикотажа ЕВРО с пододеяльником 200*220 см;;;45
89;1.5-спальное постельное белье из страйп-сатина;;;43
90;2-спальное постельное белье из страйп-сатина;;;43
91;2-спальное постельное белье из страйп-сатина с европростыней;;;43
92;Постельное белье из страйп-сатина ЕВРО с пододеяльником 200*220 см;;;43
93;Постельное белье из страйп-сатина ЕВРО-МАКСИ с пододеяльником 220*240 см;;;43
94;Семейное постельное белье из страйп-сатина;;;43
95;"1,5-спальное детское постельное белье из бязи";;;54
96;Детское постельное белье из бязи ясельного размера;;;54
97;Детское постельное белье с простыней на резинке ясельного размера из бязи;;;54
98;"1,5-спальное детское постельное белье из перкаля";;;54
99;Детское постельное белье из перкаля ясельного размера;;;54
100;Детское постельное белье из кулирки;;;54
101;Постельное белье с простыней на резинке 140*200 см (1.5 спальное);;;44
102;Постельное белье с простыней на резинке 160*200 см (2-х спальное);;;44
103;Постельное белье с простыней на резинке 180*200 см (евро размер);;;44
104;Детское;;;
105;Детское Постельное белье;;;104
106;Бязь;;;105
107;Полутороспальное;;;106
108;Полутороспальное на резинке;;;106
113;Полотенца;;;
114;Подушки для сна;;;
115;Покрывала на кровать;;;
116;Пледы;;;
117;Пододеяльники ;;;
118;Простыни;;;
119;Наволочки;;;
120;Трикотажные наволочки;;;119
121;Трикотажные наволочки 50*70;;;120
122;Трикотажные наволочки 70*70;;;120
123;Трикотажные наволочки 140 г/кв.м;;;120
124;Наволочки из перкаля;;;119
125;Наволочки из перкаля 50*70;;;124
126;Наволочки из перкаля 70*70;;;124
127;Наволочки;;;119
128;Наволочки из страйп-сатина ;;;119
129;Наволочки из страйп-сатина 50*70;;;128
130;Наволочки из страйп-сатина 70*70;;;128
131;Наволочки;;;119
132;Наволочки из сатина ;;;119
133;Наволочки из сатина 50*70;;;132
134;Наволочки из сатина 70*70;;;132
135;Махровые наволочки;;;119
136;Махровые наволочки 50*70 ;;;135
137;Махровые наволочки 70*70;;;135
138;Трикотажные простыни на резинке;;;118
139;Трикотажные простыни на резинке 60*120*20;;;138
140;Трикотажные простыни на резинке 90*200*20;;;138
141;Трикотажные простыни на резинке 120*200*20;;;138
142;Трикотажные простыни на резинке 140*200*20;;;138
143;Трикотажные простыни на резинке 160*200*20;;;138
144;Трикотажные простыни на резинке 180*200*20 ;;;138
145;Трикотажные простыни на резинке 200*200*20;;;138
146;Простыни из перкаля на резинке;;;118
147;Простыни из перкаля на резинке 90*200*25;;;146
148;Простыни из перкаля на резинке 140*200*25;;;146
149;Простыни из перкаля на резинке 160*200*25;;;146
150;Простыни из перкаля на резинке 180*200*25;;;146
151;Простыни из перкаля на резинке 200*200*25;;;146
152;Махровые простыни на резинке;;;118
153;Махровые простыни на резинке 90*200*30 ;;;152
154;Махровые простыни на резинке 120*200*30;;;152
155;Махровые простыни на резинке 140*200*30 ;;;152
156;Махровые простыни на резинке 160*200*30;;;152
157;Махровые простыни на резинке 180*200*30;;;152
158;Махровые простыни на резинке 200*200*30;;;152
159;Махровые простыни;;;118
160;Махровые простыни 155*200;;;159
161;Махровые простыни 190*200 ;;;159
162;Простыни из перкаля;;;118
163;Простыни из страйп-сатина на резинке;;;118
164;Простыни из сатина на резинке;;;118
165;Простыни из сатина на резинке 90*200*25;;;164
166;Простыни из сатина на резинке 140*200*25;;;164
167;Простыни из сатина на резинке 160*200*25;;;164
168;Простыни из сатина на резинке 180*200*25;;;164
169;Простыни из сатина на резинке 200*200*25;;;164
170;Пододеяльники из перкаля;;;117
171;"Пододеяльники из перкаля 1,5-спальные";;;170
172;Пододеяльники из перкаля 2-спальные;;;170
173;Пододеяльники из перкаля евро-размера;;;170
174;Трикотажные пододеяльники;;;117
175;Трикотажные пододеяльники 1.5-спальные (143*215);;;174
176;Трикотажные пододеяльники 2-спальные (172*215);;;174
177;Трикотажные пододеяльники евро-размера (200*220) ;;;174
178;Пледы Велсофт;;;116
179;Пледы Велсофт 150*200;;;178
180;Пледы Велсофт 180*200;;;178
181;Пледы Велсофт 220*200;;;178
182;Пледы Велсофт 240*200;;;178
183;Пледы Велсофт 90*120;;;178
184;Вязаные пледы ;;;116
185;Вязаные пледы 140*180;;;184
186;Детский пледы Велсофт;;;116
187;Детский пледы Велсофт 120*90;;;186
188;Махровые пледы ;;;116
189;Махровые пледы 150*220 ;;;188
190;Стеганые покрывала на кровать;;;115
191;Стеганые покрывала на кровать из сатина;;;190
192;Стеганые покрывала на кровать из перкаля;;;190
193;Стеганые покрывала на кровать из бязи;;;190
194;Махровые покрывала на кровать;;;115
195;Стеганые покрывала на детскую кровать;;;115
196;Стеганые покрывала на кровать всех размеров;;;115
197;Стеганые покрывала на кровать 110*140;;;196
198;Стеганые покрывала на кровать 140*200;;;196
199;Стеганые покрывала на кровать 140*210;;;196
200;Стеганые покрывала на кровать 150*220;;;196
201;Стеганые покрывала на кровать 160*210;;;196
202;Стеганые покрывала на кровать 180*210;;;196
203;Стеганые покрывала на кровать 200*210;;;196
204;Стеганые покрывала на кровать 200*240;;;196
205;Стеганые покрывала на кровать 220*200;;;196
206;Стеганые покрывала на кровать 220*210;;;196
207;Стеганые покрывала на кровать 220*240;;;196
208;Стеганые покрывала на кровать 240*240;;;196
209;Стеганые покрывала на кровать 260*210;;;196
210;Стеганые покрывала на кровать 260*240;;;196
211;Подушки из лебяжьего пуха;;;114
212;Подушки из лебяжьего пуха 50*70;;;211
213;Подушки из лебяжьего пуха 70*70;;;211
214;Подушки из верблюжьей шерсти;;;114
215;Подушки из верблюжьей шерсти 50*70;;;214
216;Подушки из верблюжьей шерсти 70*70;;;214
217;Подушки из бамбука;;;114
218;Подушки из бамбука 50*70;;;217
219;Подушки из бамбука 70*70 ;;;217
220;Подушки из овечьей шерсти;;;114
221;Подушки из овечьей шерсти 50*70;;;220
222;Подушки из овечьей шерсти 70*70 ;;;220
223;Подушки для сна;;;114
224;Подушки для сна 50*70;;;223
225;Подушки для сна 70*70;;;223
226;Пуховые подушки;;;114
227;Пуховые подушки 50*70;;;226
228;Пуховые подушки 70*70 ;;;226
229;Подушки из эвкалипта;;;114
230;Подушки из эвкалипта 50*70;;;229
231;Подушки из эвкалипта 70*70;;;229
232;Декоративные подушки;;;114
233;Одеяла из лебяжьего пуха;;;3
234;Одеяла из лебяжьего пуха 140*205;;;233
235;Одеяла из лебяжьего пуха 172*205 ;;;233
236;Одеяла из лебяжьего пуха 200*220;;;233
237;Одеяла из овечьей шерсти;;;3
238;Одеяла из овечьей шерсти 140*205;;;237
239;Одеяла из овечьей шерсти 172*205;;;237
240;Одеяла из овечьей шерсти 200*220;;;237
241;Одеяла Бамбук-Хлопок;;;3
242;Одеяла Хлопок;;;3
243;Одеяла Лен-Хлопок;;;3
244;Одеяла Эвкалипт;;;3
245;Пуховые одеяла Пух-Перо;;;3
246;Одеяла из верблюжьей шерсти;;;3
247;Одеяла из верблюжьей шерсти 140*205;;;246
248;Одеяла из верблюжьей шерсти 172*205;;;246
249;Одеяла из верблюжьей шерсти 200*220;;;246
250;Махровые полотенца;;;113
251;Махровые полотенца 30*30;;;250
252;Махровые полотенца 40*70;;;250
253;Махровые полотенца 48*70;;;250
254;Махровые полотенца 50*90;;;250
255;Махровые полотенца 70*140 ;;;250
256;Махровые полотенца 100*180;;;250
257;Вафельные полотенца;;;113
258;Вафельные полотенца 100*150;;;257
259;Вафельные полотенца 40*47;;;257
260;Вафельные полотенца 47*60 ;;;257
261;Вафельные полотенца 47*70;;;257
262;Вафельные полотенца 50*60;;;257
263;Вафельные полотенца 50*70;;;257
264;Наборы полотенец;;;113
265;"Вафельно-махровые полотенца ""Версаль""";;;113
266;"Вафельно-махровые полотенца ""Версаль"" 50*90";;;265
267;"Вафельно-махровые полотенца ""Версаль"" 70*140";;;265
